MGI:MGI:1889817	replication initiator 1		GO:0022626		MGI	NCBITaxon:10090	IDA		PANTHER:PTHR24406	protein_coding_gene		PMID:20727851	20120618
MGI:MGI:98887	ubiquitin A-52 residue ribosomal protein fusion product 1		GO:0022625		UniProt	NCBITaxon:10090	IDA		PANTHER:PTHR10666	protein_coding_gene		MGI:MGI:7432473|PMID:36517592	20221219
MGI:MGI:98887	ubiquitin A-52 residue ribosomal protein fusion product 1		GO:0022625		ComplexPortal	NCBITaxon:10090	IPI		PANTHER:PTHR10666	protein_coding_gene		MGI:MGI:7432473|PMID:36517592	20230615
MGI:MGI:98887	ubiquitin A-52 residue ribosomal protein fusion product 1		GO:0022625		MGI	NCBITaxon:10090	ISO	UniProtKB:P62987	PANTHER:PTHR10666	protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20220428
MGI:MGI:98887	ubiquitin A-52 residue ribosomal protein fusion product 1		GO:0022626		MGI	NCBITaxon:10090	ISO	UniProtKB:P62987	PANTHER:PTHR10666	protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20230705
MGI:MGI:98887	ubiquitin A-52 residue ribosomal protein fusion product 1		GO:0022627		GO_Central	NCBITaxon:10090	IBA	PANTHER:PTN008503435|UniProtKB:P62979	PANTHER:PTHR10666	protein_coding_gene		GO_REF:0000033	20170512
MGI:MGI:98887	ubiquitin A-52 residue ribosomal protein fusion product 1		GO:0005840	"{""relationship"": {""relation"": [{""id"": ""BFO:0000050"", ""label"": ""part of""}], ""id"": ""GO:0098794"", ""label"": ""postsynapse""}}"	SynGO	NCBITaxon:10090	NAS		PANTHER:PTHR10666	protein_coding_gene		PMID:16452087	20240306
MGI:MGI:98887	ubiquitin A-52 residue ribosomal protein fusion product 1		GO:0005840	"{""relationship"": {""relation"": [{""id"": ""BFO:0000050"", ""label"": ""part of""}], ""id"": ""GO:0098793"", ""label"": ""presynapse""}}"	SynGO	NCBITaxon:10090	NAS		PANTHER:PTHR10666	protein_coding_gene		PMID:16452087	20240306
MGI:MGI:1914365	ribosomal protein L14		GO:0022625		MGI	NCBITaxon:10090	ISO	UniProtKB:P50914	PANTHER:PTHR11127	protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20230615
MGI:MGI:1914365	ribosomal protein L14		GO:0022625		MGI	NCBITaxon:10090	ISO	RGD:621180	PANTHER:PTHR11127	protein_coding_gene		MGI:MGI:4417868|GO_REF:0000096	20160217
MGI:MGI:1914365	ribosomal protein L14		GO:0022625		ComplexPortal	NCBITaxon:10090	IPI		PANTHER:PTHR11127	protein_coding_gene		MGI:MGI:7432473|PMID:36517592	20230615
MGI:MGI:1914365	ribosomal protein L14		GO:0022625		UniProt	NCBITaxon:10090	IDA		PANTHER:PTHR11127	protein_coding_gene		MGI:MGI:7432473|PMID:36517592	20221219
MGI:MGI:1914365	ribosomal protein L14		GO:0022626		MGI	NCBITaxon:10090	ISO	UniProtKB:P50914	PANTHER:PTHR11127	protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20230705
MGI:MGI:1914365	ribosomal protein L14		GO:0022625		GO_Central	NCBITaxon:10090	IBA	PANTHER:PTN000874665|UniProtKB:P50914|RGD:621180|SGD:S000000993|MGI:MGI:1914365|SGD:S000001489	PANTHER:PTHR11127	protein_coding_gene		GO_REF:0000033	20211215
MGI:MGI:1914365	ribosomal protein L14		GO:0005840	"{""relationship"": {""relation"": [{""id"": ""BFO:0000050"", ""label"": ""part of""}], ""id"": ""GO:0098794"", ""label"": ""postsynapse""}}"	SynGO	NCBITaxon:10090	NAS		PANTHER:PTHR11127	protein_coding_gene		PMID:25211037	20240306
MGI:MGI:1914365	ribosomal protein L14		GO:0005840	"{""relationship"": {""relation"": [{""id"": ""BFO:0000050"", ""label"": ""part of""}], ""id"": ""GO:0098793"", ""label"": ""presynapse""}}"	SynGO	NCBITaxon:10090	NAS		PANTHER:PTHR11127	protein_coding_gene		PMID:25211037	20240306
MGI:MGI:1333864	mitochondrial ribosomal protein L14		GO:0005762		MGI	NCBITaxon:10090	ISO	UniProtKB:Q6P1L8	PANTHER:PTHR21037	protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20161006
MGI:MGI:1333864	mitochondrial ribosomal protein L14		GO:0005762		ComplexPortal	NCBITaxon:10090	NAS		PANTHER:PTHR21037	protein_coding_gene		MGI:MGI:6867305|PMID:25278503	20200203
MGI:MGI:1333864	mitochondrial ribosomal protein L14		GO:0005840		UniProt	NCBITaxon:10090	IEA	InterPro:IPR000218|InterPro:IPR036853	PANTHER:PTHR21037	protein_coding_gene		MGI:MGI:2152098|GO_REF:0000002	20240324
MGI:MGI:1333864	mitochondrial ribosomal protein L14		GO:0005840		UniProt	NCBITaxon:10090	IEA	UniProtKB-KW:KW-0689	PANTHER:PTHR21037	protein_coding_gene		MGI:MGI:1354194|GO_REF:0000043	20240324
MGI:MGI:1914347	ribosomal protein S10		GO:0022626		MGI	NCBITaxon:10090	ISO	UniProtKB:P46783	PANTHER:PTHR12146	protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20230705
MGI:MGI:1914347	ribosomal protein S10		GO:0022627		ComplexPortal	NCBITaxon:10090	NAS		PANTHER:PTHR12146	protein_coding_gene		MGI:MGI:6810796|PMID:25901680	20230511
MGI:MGI:1914347	ribosomal protein S10		GO:0022627		MGI	NCBITaxon:10090	ISO	RGD:621024	PANTHER:PTHR12146	protein_coding_gene		MGI:MGI:4417868|GO_REF:0000096	20080811
MGI:MGI:1914347	ribosomal protein S10		GO:0022627		UniProt	NCBITaxon:10090	IDA		PANTHER:PTHR12146	protein_coding_gene		MGI:MGI:7432473|PMID:36517592	20221220
MGI:MGI:1914347	ribosomal protein S10		GO:0022627		MGI	NCBITaxon:10090	ISO	UniProtKB:P46783	PANTHER:PTHR12146	protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20080829
MGI:MGI:1914347	ribosomal protein S10		GO:0022627		GO_Central	NCBITaxon:10090	IBA	PANTHER:PTN000254423|UniProtKB:P46783|MGI:MGI:1914347|RGD:621024	PANTHER:PTHR12146	protein_coding_gene		GO_REF:0000033	20230405
MGI:MGI:1914347	ribosomal protein S10		GO:0005840	"{""relationship"": {""relation"": [{""id"": ""BFO:0000050"", ""label"": ""part of""}], ""id"": ""GO:0098794"", ""label"": ""postsynapse""}}"	SynGO	NCBITaxon:10090	NAS		PANTHER:PTHR12146	protein_coding_gene		PMID:25211037	20240306
MGI:MGI:1914347	ribosomal protein S10		GO:0005840	"{""relationship"": {""relation"": [{""id"": ""BFO:0000050"", ""label"": ""part of""}], ""id"": ""GO:0098793"", ""label"": ""presynapse""}}"	SynGO	NCBITaxon:10090	NAS		PANTHER:PTHR12146	protein_coding_gene		PMID:25211037	20240306
MGI:MGI:1333830	mitochondrial ribosomal protein S26		GO:0005763		ComplexPortal	NCBITaxon:10090	NAS		PANTHER:PTHR21035	protein_coding_gene		MGI:MGI:6867302|PMID:25838379	20200203
MGI:MGI:1333830	mitochondrial ribosomal protein S26		GO:0005840		UniProt	NCBITaxon:10090	IEA	UniProtKB-KW:KW-0689	PANTHER:PTHR21035	protein_coding_gene		MGI:MGI:1354194|GO_REF:0000043	20240324
MGI:MGI:1333830	mitochondrial ribosomal protein S26		GO:0005763		GO_Central	NCBITaxon:10090	IBA	PANTHER:PTN001077755|UniProtKB:Q3SZ86	PANTHER:PTHR21035	protein_coding_gene		GO_REF:0000033	20181004
MGI:MGI:1333820	mitochondrial ribosomal protein L30		GO:0005762		MGI	NCBITaxon:10090	ISO	UniProtKB:Q8TCC3	PANTHER:PTHR15892	protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20161018
MGI:MGI:1333820	mitochondrial ribosomal protein L30		GO:0005762		ComplexPortal	NCBITaxon:10090	NAS		PANTHER:PTHR15892	protein_coding_gene		MGI:MGI:6867305|PMID:25278503	20200203
MGI:MGI:1333820	mitochondrial ribosomal protein L30		GO:0005840		UniProt	NCBITaxon:10090	IEA	UniProtKB-KW:KW-0689	PANTHER:PTHR15892	protein_coding_gene		MGI:MGI:1354194|GO_REF:0000043	20240324
MGI:MGI:1333820	mitochondrial ribosomal protein L30		GO:0015934		UniProt	NCBITaxon:10090	IEA	InterPro:IPR005996	PANTHER:PTHR15892	protein_coding_gene		MGI:MGI:2152098|GO_REF:0000002	20240324
MGI:MGI:1333820	mitochondrial ribosomal protein L30		GO:0005761		MGI	NCBITaxon:10090	ISS		PANTHER:PTHR15892	protein_coding_gene		PMID:9857009	20030715
MGI:MGI:1333818	ribosomal protein S7		GO:0022626		MGI	NCBITaxon:10090	ISO	UniProtKB:P62081	PANTHER:PTHR11278	protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20230705
MGI:MGI:1333818	ribosomal protein S7		GO:0022627		MGI	NCBITaxon:10090	ISO	RGD:61907	PANTHER:PTHR11278	protein_coding_gene		MGI:MGI:4417868|GO_REF:0000096	20070207
MGI:MGI:1333818	ribosomal protein S7		GO:0022627		UniProt	NCBITaxon:10090	IDA		PANTHER:PTHR11278	protein_coding_gene		MGI:MGI:7432473|PMID:36517592	20221220
MGI:MGI:1333818	ribosomal protein S7		GO:0022627		MGI	NCBITaxon:10090	ISO	UniProtKB:P62081	PANTHER:PTHR11278	protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20080828
MGI:MGI:1333818	ribosomal protein S7		GO:0022627		ComplexPortal	NCBITaxon:10090	NAS		PANTHER:PTHR11278	protein_coding_gene		MGI:MGI:6810796|PMID:25901680	20230511
MGI:MGI:1333818	ribosomal protein S7		GO:0022627		GO_Central	NCBITaxon:10090	IBA	PANTHER:PTN000138848|UniProtKB:P62081|RGD:61907|MGI:MGI:1333818	PANTHER:PTHR11278	protein_coding_gene		GO_REF:0000033	20230405
MGI:MGI:1333818	ribosomal protein S7		GO:0005840	"{""relationship"": {""relation"": [{""id"": ""BFO:0000050"", ""label"": ""part of""}], ""id"": ""GO:0098794"", ""label"": ""postsynapse""}}"	SynGO	NCBITaxon:10090	NAS		PANTHER:PTHR11278	protein_coding_gene		PMID:16452087	20240306
MGI:MGI:1333816	mitochondrial ribosomal protein L41		GO:0005762		MGI	NCBITaxon:10090	ISO	UniProtKB:Q8IXM3	PANTHER:PTHR21338	protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20070124
MGI:MGI:1333816	mitochondrial ribosomal protein L41		GO:0005762		ComplexPortal	NCBITaxon:10090	NAS		PANTHER:PTHR21338	protein_coding_gene		MGI:MGI:6867305|PMID:25278503	20200203
MGI:MGI:1333816	mitochondrial ribosomal protein L41		GO:0005840		UniProt	NCBITaxon:10090	IEA	UniProtKB-KW:KW-0689	PANTHER:PTHR21338	protein_coding_gene		MGI:MGI:1354194|GO_REF:0000043	20240324
MGI:MGI:1333816	mitochondrial ribosomal protein L41		GO:0005762		GO_Central	NCBITaxon:10090	IBA	PANTHER:PTN000481942|UniProtKB:Q8IXM3|SGD:S000000486	PANTHER:PTHR21338	protein_coding_gene		GO_REF:0000033	20170228
MGI:MGI:1333801	mitochondrial ribosomal protein L10		GO:0005762		MGI	NCBITaxon:10090	ISO	UniProtKB:Q7Z7H8	PANTHER:PTHR11560	protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20161005
MGI:MGI:1333801	mitochondrial ribosomal protein L10		GO:0005762		ComplexPortal	NCBITaxon:10090	NAS		PANTHER:PTHR11560	protein_coding_gene		MGI:MGI:6867305|PMID:25278503	20200203
MGI:MGI:1333801	mitochondrial ribosomal protein L10		GO:0005840		UniProt	NCBITaxon:10090	IEA	UniProtKB-KW:KW-0689	PANTHER:PTHR11560	protein_coding_gene		MGI:MGI:1354194|GO_REF:0000043	20240324
MGI:MGI:1333801	mitochondrial ribosomal protein L10		GO:0005762		GO_Central	NCBITaxon:10090	IBA	PANTHER:PTN000901508|UniProtKB:Q7Z7H8|UniProtKB:Q3MHY7|SGD:S000002361	PANTHER:PTHR11560	protein_coding_gene		GO_REF:0000033	20170228
MGI:MGI:1333801	mitochondrial ribosomal protein L10		GO:0005762		MGI	NCBITaxon:10090	ISS		PANTHER:PTHR11560	protein_coding_gene		PMID:9857009	20020731
MGI:MGI:106565	mitochondrial ribosome associated GTPase 2		GO:0005761		MGI	NCBITaxon:10090	ISO	UniProtKB:Q9H4K7	PANTHER:PTHR11702	protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20130617
MGI:MGI:1914286	mitochondrial ribosomal protein L45		GO:0005762		MGI	NCBITaxon:10090	ISO	UniProtKB:Q9BRJ2	PANTHER:PTHR28554	protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20161101
MGI:MGI:1914286	mitochondrial ribosomal protein L45		GO:0005762		ComplexPortal	NCBITaxon:10090	NAS		PANTHER:PTHR28554	protein_coding_gene		MGI:MGI:6867305|PMID:25278503	20200203
MGI:MGI:1914286	mitochondrial ribosomal protein L45		GO:0005840		UniProt	NCBITaxon:10090	IEA	UniProtKB-KW:KW-0689	PANTHER:PTHR28554	protein_coding_gene		MGI:MGI:1354194|GO_REF:0000043	20240324
MGI:MGI:1333794	mitochondrial ribosomal protein L22		GO:0005762		ComplexPortal	NCBITaxon:10090	NAS		PANTHER:PTHR13501	protein_coding_gene		MGI:MGI:6867305|PMID:25278503	20200203
MGI:MGI:1333794	mitochondrial ribosomal protein L22		GO:0005762		MGI	NCBITaxon:10090	ISO	UniProtKB:Q9NWU5	PANTHER:PTHR13501	protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20161005
MGI:MGI:1333794	mitochondrial ribosomal protein L22		GO:0005840		UniProt	NCBITaxon:10090	IEA	UniProtKB-KW:KW-0689	PANTHER:PTHR13501	protein_coding_gene		MGI:MGI:1354194|GO_REF:0000043	20240324
MGI:MGI:1333794	mitochondrial ribosomal protein L22		GO:0005840		UniProt	NCBITaxon:10090	IEA	InterPro:IPR001063|InterPro:IPR036394	PANTHER:PTHR13501	protein_coding_gene		MGI:MGI:2152098|GO_REF:0000002	20240324
MGI:MGI:1333794	mitochondrial ribosomal protein L22		GO:0015934		UniProt	NCBITaxon:10090	IEA	InterPro:IPR047867	PANTHER:PTHR13501	protein_coding_gene		MGI:MGI:2152098|GO_REF:0000002	20240324
MGI:MGI:1333794	mitochondrial ribosomal protein L22		GO:0005762		GO_Central	NCBITaxon:10090	IBA	PANTHER:PTN000337445|UniProtKB:Q9NWU5|SGD:S000005121	PANTHER:PTHR13501	protein_coding_gene		GO_REF:0000033	20170228
MGI:MGI:1914275	ribosomal protein L11		GO:0005840		UniProt	NCBITaxon:10090	IEA	UniProtKB-KW:KW-0689	PANTHER:PTHR11994	protein_coding_gene		MGI:MGI:1354194|GO_REF:0000043	20240324
MGI:MGI:1914275	ribosomal protein L11		GO:0005840		UniProt	NCBITaxon:10090	IEA	InterPro:IPR002132|InterPro:IPR020929	PANTHER:PTHR11994	protein_coding_gene		MGI:MGI:2152098|GO_REF:0000002	20240324
MGI:MGI:1914275	ribosomal protein L11		GO:0022625		MGI	NCBITaxon:10090	ISO	UniProtKB:P62913	PANTHER:PTHR11994	protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20230615
MGI:MGI:1914275	ribosomal protein L11		GO:0022625		UniProt	NCBITaxon:10090	IDA		PANTHER:PTHR11994	protein_coding_gene		MGI:MGI:7432473|PMID:36517592	20221219
MGI:MGI:1914275	ribosomal protein L11		GO:0022625		ComplexPortal	NCBITaxon:10090	IPI		PANTHER:PTHR11994	protein_coding_gene		MGI:MGI:7432473|PMID:36517592	20230615
MGI:MGI:1914275	ribosomal protein L11		GO:0022625		MGI	NCBITaxon:10090	ISO	RGD:1308681	PANTHER:PTHR11994	protein_coding_gene		MGI:MGI:4417868|GO_REF:0000096	20160211
MGI:MGI:1914275	ribosomal protein L11		GO:0022626		MGI	NCBITaxon:10090	ISO	RGD:1308681	PANTHER:PTHR11994	protein_coding_gene		MGI:MGI:4417868|GO_REF:0000096	20160211
MGI:MGI:1914275	ribosomal protein L11		GO:0022626		MGI	NCBITaxon:10090	ISO	UniProtKB:P62913	PANTHER:PTHR11994	protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20230705
MGI:MGI:1914275	ribosomal protein L11		GO:0022625		GO_Central	NCBITaxon:10090	IBA	PANTHER:PTN000242048|SGD:S000006306|UniProtKB:P62913|SGD:S000003317|RGD:1308681|MGI:MGI:1914275|UniProtKB:P62399	PANTHER:PTHR11994	protein_coding_gene		GO_REF:0000033	20211216
MGI:MGI:1333780	ribosomal protein S19		GO:0005840		MGI	NCBITaxon:10090	ISO	UniProtKB:P39019	PANTHER:PTHR11710	protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20130207
MGI:MGI:1333780	ribosomal protein S19		GO:0015935		MGI	NCBITaxon:10090	ISO	RGD:68440	PANTHER:PTHR11710	protein_coding_gene		MGI:MGI:4417868|GO_REF:0000096	20160317
MGI:MGI:1333780	ribosomal protein S19		GO:0022626		MGI	NCBITaxon:10090	ISO	UniProtKB:P39019	PANTHER:PTHR11710	protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20230705
MGI:MGI:1333780	ribosomal protein S19		GO:0022627		MGI	NCBITaxon:10090	ISO	UniProtKB:P39019	PANTHER:PTHR11710	protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20090119
MGI:MGI:1333780	ribosomal protein S19		GO:0022627		ComplexPortal	NCBITaxon:10090	NAS		PANTHER:PTHR11710	protein_coding_gene		MGI:MGI:6810796|PMID:25901680	20230511
MGI:MGI:1333780	ribosomal protein S19		GO:0022627		UniProt	NCBITaxon:10090	IDA		PANTHER:PTHR11710	protein_coding_gene		MGI:MGI:7432473|PMID:36517592	20221220
MGI:MGI:1333780	ribosomal protein S19		GO:0022627		MGI	NCBITaxon:10090	ISO	RGD:68440	PANTHER:PTHR11710	protein_coding_gene		MGI:MGI:4417868|GO_REF:0000096	20070207
MGI:MGI:1333780	ribosomal protein S19		GO:0022627		GO_Central	NCBITaxon:10090	IBA	PANTHER:PTN000194951|SGD:S000005481|UniProtKB:P39019|SGD:S000005246|RGD:68440|MGI:MGI:1333780|UniProtKB:Q8IFP2	PANTHER:PTHR11710	protein_coding_gene		GO_REF:0000033	20230405
MGI:MGI:1333780	ribosomal protein S19		GO:0005840	"{""relationship"": {""relation"": [{""id"": ""BFO:0000050"", ""label"": ""part of""}], ""id"": ""GO:0098794"", ""label"": ""postsynapse""}}"	SynGO	NCBITaxon:10090	NAS		PANTHER:PTHR11710	protein_coding_gene		PMID:16452087	20240306
MGI:MGI:1333774	mitochondrial ribosomal protein L42		GO:0005762		ComplexPortal	NCBITaxon:10090	NAS		PANTHER:PTHR13450	protein_coding_gene		MGI:MGI:6867305|PMID:25278503	20200203
MGI:MGI:1333774	mitochondrial ribosomal protein L42		GO:0005762		MGI	NCBITaxon:10090	ISO	UniProtKB:Q9Y6G3	PANTHER:PTHR13450	protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20161005
MGI:MGI:1333774	mitochondrial ribosomal protein L42		GO:0005763		MGI	NCBITaxon:10090	ISO	UniProtKB:Q9Y6G3	PANTHER:PTHR13450	protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20010817
MGI:MGI:1333774	mitochondrial ribosomal protein L42		GO:0005840		UniProt	NCBITaxon:10090	IEA	UniProtKB-KW:KW-0689	PANTHER:PTHR13450	protein_coding_gene		MGI:MGI:1354194|GO_REF:0000043	20240324
MGI:MGI:1333774	mitochondrial ribosomal protein L42		GO:0005762		GO_Central	NCBITaxon:10090	IBA	PANTHER:PTN002298037|UniProtKB:Q9Y6G3	PANTHER:PTHR13450	protein_coding_gene		GO_REF:0000033	20180425
MGI:MGI:98118	ribosomal protein S16		GO:0022626		MGI	NCBITaxon:10090	ISO	UniProtKB:P62249	PANTHER:PTHR21569	protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20230705
MGI:MGI:98118	ribosomal protein S16		GO:0022627		ComplexPortal	NCBITaxon:10090	NAS		PANTHER:PTHR21569	protein_coding_gene		MGI:MGI:6810796|PMID:25901680	20230511
MGI:MGI:98118	ribosomal protein S16		GO:0022627		MGI	NCBITaxon:10090	ISO	RGD:621031	PANTHER:PTHR21569	protein_coding_gene		MGI:MGI:4417868|GO_REF:0000096	20080821
MGI:MGI:98118	ribosomal protein S16		GO:0022627		UniProt	NCBITaxon:10090	IDA		PANTHER:PTHR21569	protein_coding_gene		MGI:MGI:7432473|PMID:36517592	20221220
MGI:MGI:98118	ribosomal protein S16		GO:0022627		MGI	NCBITaxon:10090	ISO	UniProtKB:P62249	PANTHER:PTHR21569	protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20080902
MGI:MGI:98118	ribosomal protein S16		GO:0022627		GO_Central	NCBITaxon:10090	IBA	PANTHER:PTN000490831|MGI:MGI:98118|RGD:621031|UniProtKB:P62249	PANTHER:PTHR21569	protein_coding_gene		GO_REF:0000033	20230406
MGI:MGI:98118	ribosomal protein S16		GO:0005840	"{""relationship"": {""relation"": [{""id"": ""BFO:0000050"", ""label"": ""part of""}], ""id"": ""GO:0098794"", ""label"": ""postsynapse""}}"	SynGO	NCBITaxon:10090	NAS		PANTHER:PTHR21569	protein_coding_gene		PMID:25211037	20240306
MGI:MGI:98118	ribosomal protein S16		GO:0005840	"{""relationship"": {""relation"": [{""id"": ""BFO:0000050"", ""label"": ""part of""}], ""id"": ""GO:0098793"", ""label"": ""presynapse""}}"	SynGO	NCBITaxon:10090	NAS		PANTHER:PTHR21569	protein_coding_gene		PMID:25211037	20240306
MGI:MGI:98117	ribosomal protein S15		GO:0005840		UniProt	NCBITaxon:10090	IEA	UniProtKB-KW:KW-0689	PANTHER:PTHR11880	protein_coding_gene		MGI:MGI:1354194|GO_REF:0000043	20240324
MGI:MGI:98117	ribosomal protein S15		GO:0005840		UniProt	NCBITaxon:10090	IEA	InterPro:IPR002222|InterPro:IPR023575	PANTHER:PTHR11880	protein_coding_gene		MGI:MGI:2152098|GO_REF:0000002	20240324
MGI:MGI:98117	ribosomal protein S15		GO:0015935		UniProt	NCBITaxon:10090	IEA	InterPro:IPR005713	PANTHER:PTHR11880	protein_coding_gene		MGI:MGI:2152098|GO_REF:0000002	20240324
MGI:MGI:98117	ribosomal protein S15		GO:0022626		MGI	NCBITaxon:10090	ISO	UniProtKB:P62841	PANTHER:PTHR11880	protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20230705
MGI:MGI:98117	ribosomal protein S15		GO:0022627		MGI	NCBITaxon:10090	ISO	UniProtKB:P62841	PANTHER:PTHR11880	protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20080902
MGI:MGI:98117	ribosomal protein S15		GO:0022627		ComplexPortal	NCBITaxon:10090	NAS		PANTHER:PTHR11880	protein_coding_gene		MGI:MGI:6810796|PMID:25901680	20230511
MGI:MGI:98117	ribosomal protein S15		GO:0022627		MGI	NCBITaxon:10090	ISO	RGD:62026	PANTHER:PTHR11880	protein_coding_gene		MGI:MGI:4417868|GO_REF:0000096	20080811
MGI:MGI:98117	ribosomal protein S15		GO:0022627		UniProt	NCBITaxon:10090	IDA		PANTHER:PTHR11880	protein_coding_gene		MGI:MGI:7432473|PMID:36517592	20221220
MGI:MGI:98117	ribosomal protein S15		GO:0022627		GO_Central	NCBITaxon:10090	IBA	PANTHER:PTN000222940|RGD:62026|UniProtKB:C0H5C2|UniProtKB:P62844|MGI:MGI:98117|UniProtKB:P62841	PANTHER:PTHR11880	protein_coding_gene		GO_REF:0000033	20231010
MGI:MGI:98107	ribosomal protein S14		GO:0022626		MGI	NCBITaxon:10090	ISO	UniProtKB:P62263	PANTHER:PTHR11759	protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20230705
MGI:MGI:98107	ribosomal protein S14		GO:0022627		MGI	NCBITaxon:10090	ISO	RGD:62025	PANTHER:PTHR11759	protein_coding_gene		MGI:MGI:4417868|GO_REF:0000096	20080811
MGI:MGI:98107	ribosomal protein S14		GO:0022627		UniProt	NCBITaxon:10090	IDA		PANTHER:PTHR11759	protein_coding_gene		MGI:MGI:7432473|PMID:36517592	20221220
MGI:MGI:98107	ribosomal protein S14		GO:0022627		MGI	NCBITaxon:10090	ISO	UniProtKB:P62263	PANTHER:PTHR11759	protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20080903
MGI:MGI:98107	ribosomal protein S14		GO:0022627		ComplexPortal	NCBITaxon:10090	NAS		PANTHER:PTHR11759	protein_coding_gene		MGI:MGI:6810796|PMID:25901680	20230511
MGI:MGI:98107	ribosomal protein S14		GO:0022627		GO_Central	NCBITaxon:10090	IBA	PANTHER:PTN000204886|UniProtKB:A0A5K1K925|UniProtKB:P62263|RGD:62025|MGI:MGI:98107	PANTHER:PTHR11759	protein_coding_gene		GO_REF:0000033	20230405
MGI:MGI:98107	ribosomal protein S14		GO:0005840	"{""relationship"": {""relation"": [{""id"": ""BFO:0000050"", ""label"": ""part of""}], ""id"": ""GO:0098794"", ""label"": ""postsynapse""}}"	SynGO	NCBITaxon:10090	NAS		PANTHER:PTHR11759	protein_coding_gene		PMID:25211037	20240306
MGI:MGI:98107	ribosomal protein S14		GO:0005840	"{""relationship"": {""relation"": [{""id"": ""BFO:0000050"", ""label"": ""part of""}], ""id"": ""GO:0098793"", ""label"": ""presynapse""}}"	SynGO	NCBITaxon:10090	NAS		PANTHER:PTHR11759	protein_coding_gene		PMID:25211037	20240306
MGI:MGI:98105	ribosomal protein S12		GO:0022625		MGI	NCBITaxon:10090	ISO	RGD:62024	PANTHER:PTHR11843	protein_coding_gene		MGI:MGI:4417868|GO_REF:0000096	20160314
MGI:MGI:98105	ribosomal protein S12		GO:0022626		MGI	NCBITaxon:10090	ISO	UniProtKB:P25398	PANTHER:PTHR11843	protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20230705
MGI:MGI:98105	ribosomal protein S12		GO:0022627		MGI	NCBITaxon:10090	ISO	UniProtKB:P25398	PANTHER:PTHR11843	protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20080829
MGI:MGI:98105	ribosomal protein S12		GO:0022627		MGI	NCBITaxon:10090	ISO	RGD:62024	PANTHER:PTHR11843	protein_coding_gene		MGI:MGI:4417868|GO_REF:0000096	20080821
MGI:MGI:98105	ribosomal protein S12		GO:0022627		ComplexPortal	NCBITaxon:10090	NAS		PANTHER:PTHR11843	protein_coding_gene		MGI:MGI:6810796|PMID:25901680	20230511
MGI:MGI:98105	ribosomal protein S12		GO:0022627		GO_Central	NCBITaxon:10090	IBA	PANTHER:PTN000217533|SGD:S000005896|RGD:62024|UniProtKB:P25398	PANTHER:PTHR11843	protein_coding_gene		GO_REF:0000033	20170228
MGI:MGI:98105	ribosomal protein S12		GO:0005840	"{""relationship"": {""relation"": [{""id"": ""BFO:0000050"", ""label"": ""part of""}], ""id"": ""GO:0098794"", ""label"": ""postsynapse""}}"	SynGO	NCBITaxon:10090	NAS		PANTHER:PTHR11843	protein_coding_gene		PMID:25211037	20240306
MGI:MGI:98105	ribosomal protein S12		GO:0005840	"{""relationship"": {""relation"": [{""id"": ""BFO:0000050"", ""label"": ""part of""}], ""id"": ""GO:0098793"", ""label"": ""presynapse""}}"	SynGO	NCBITaxon:10090	NAS		PANTHER:PTHR11843	protein_coding_gene		PMID:25211037	20240306
MGI:MGI:3642298	ribosomal protein S18, pseudogene 6		GO:0015935		GO_Central	NCBITaxon:10090	IBA	PANTHER:PTN000093238|MGI:MGI:98146|RGD:3595|UniProtKB:P62269|SGD:S000005025|UniProtKB:P0A7S9|UniProtKB:P62272	PANTHER:PTHR10871	pseudogene		GO_REF:0000033	20230405
